Title,Image_URL,Image_Saved
Mach's principle,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wikibooks-logo-en-noslogan.svg/40px-Wikibooks-logo-en-noslogan.svg.png,images\Mach's_principle.jpg
Planetary habitability,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Earthlike_moon_extrasolar_gas_giant.jpg/220px-Earthlike_moon_extrasolar_gas_giant.jpg,
Astronomical object,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Portrait_of_Jupiter_from_Cassini.jpg/106px-Portrait_of_Jupiter_from_Cassini.jpg,
Sculpture in Mexico,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Pa%C3%ADs_de_los_Volcanes%2C_vista_a_la_Secretar%C3%ADa_de_Relaciones_Exteriores_de_la_CDMX%2C_M%C3%A9xico.jpg/250px-Pa%C3%ADs_de_los_Volcanes%2C_vista_a_la_Secretar%C3%ADa_de_Relaciones_Exteriores_de_la_CDMX%2C_M%C3%A9xico.jpg,
Buellia frigida,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr.svg/15px-OOjs_UI_icon_edit-ltr.svg.png,images\Buellia_frigida.jpg
History of the extraterrestrial life debate,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Tycho-Brahe-Mural-Quadrant.jpg/220px-Tycho-Brahe-Mural-Quadrant.jpg,
Transactionalism,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Socrates.png/10px-Socrates.png,images\Transactionalism.jpg
Axial parallelism,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Eclipse_vs_new_or_full_moons%2C_annotated.svg/220px-Eclipse_vs_new_or_full_moons%2C_annotated.svg.png,images\Axial_parallelism.jpg
Svarbhānu,,
Cryogenian,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/WikiProject_Geology.svg/19px-WikiProject_Geology.svg.png,images\Cryogenian.jpg
The God Equation,,
César Domboy,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png,images\César_Domboy.jpg
Chinese astronomy,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Wide_View_of_the_Crab_Nebula.jpg/220px-Wide_View_of_the_Crab_Nebula.jpg,
The Rise and Fall of Ziggy Stardust and the Spiders from Mars,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/The_former_Trident_Studios_building%2C_St_Anne%27s_Court%2C_Soho%2C_London_2018.jpg/150px-The_former_Trident_Studios_building%2C_St_Anne%27s_Court%2C_Soho%2C_London_2018.jpg,
2000,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/2000_Events_Collage_2.0.jpg/300px-2000_Events_Collage_2.0.jpg,
Sailing ship,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Sail_plan_barque.svg/150px-Sail_plan_barque.svg.png,images\Sailing_ship.jpg
Eclipses in mythology and culture,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Lunar_phases_al-Biruni.jpg/220px-Lunar_phases_al-Biruni.jpg,images\Eclipses_in_mythology_and_culture.jpg
Planetary-mass moon,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Information_icon4.svg/40px-Information_icon4.svg.png,images\Planetary-mass_moon.jpg
Cosmic pluralism,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Earth-moon.jpg/32px-Earth-moon.jpg,images\Cosmic_pluralism.jpg
Uthirakosamangai,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Uthiragosamangai10.jpg/250px-Uthiragosamangai10.jpg,images\Uthirakosamangai.jpg
History of geodesy,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Eratosthenes_measure_of_Earth_circumference.svg/310px-Eratosthenes_measure_of_Earth_circumference.svg.png,images\History_of_geodesy.jpg
Lidar,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Lidar_P1270901.jpg/170px-Lidar_P1270901.jpg,images\Lidar.jpg
Mellon Collie and the Infinite Sadness,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/The_Smashing_Pumpkins_-_MCIS_-_reissue_cover.jpg/220px-The_Smashing_Pumpkins_-_MCIS_-_reissue_cover.jpg,
Space elevator,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,images\Space_elevator.jpg
Gravitational scattering,,
Terraforming,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ambox_important.svg/40px-Ambox_important.svg.png,images\Terraforming.jpg
Venus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Venus_2_Approach_Image.jpg/290px-Venus_2_Approach_Image.jpg,images\Venus.jpg
John Michell,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Wikisource-logo.svg/12px-Wikisource-logo.svg.png,images\John_Michell.jpg
Myth of Er,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Socrates.png/10px-Socrates.png,images\Myth_of_Er.jpg
Toledan Tables,,
At Night All Blood Is Black,,
Dream Pool Essays,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Nuvola_apps_bookcase.svg/19px-Nuvola_apps_bookcase.svg.png,images\Dream_Pool_Essays.jpg
Tian,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Edit-clear.svg/40px-Edit-clear.svg.png,images\Tian.jpg
Delta-v budget,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Solar_system_delta_v_map.svg/220px-Solar_system_delta_v_map.svg.png,
Chinua Achebe,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Nigeria_linguistical_map_1979.svg/330px-Nigeria_linguistical_map_1979.svg.png,images\Chinua_Achebe.jpg
Translation (Mormonism),,
Joseph Dzhun,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Unbalanced_scales.svg/45px-Unbalanced_scales.svg.png,images\Joseph_Dzhun.jpg
Bucket argument,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/ForceDiagram.svg/200px-ForceDiagram.svg.png,
Chukchi people,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Choris%2C_Tschuktschen.jpg/220px-Choris%2C_Tschuktschen.jpg,images\Chukchi_people.jpg
Mantle convection,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Earth_temperature.svg/220px-Earth_temperature.svg.png,
Politics of outer space,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Signing_Outer_Space_Treaty.jpg/220px-Signing_Outer_Space_Treaty.jpg,images\Politics_of_outer_space.jpg
Taqi ad-Din Muhammad ibn Ma'ruf,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Sextant_Takiy%C3%BCddinRasid_TopkapiPalaceMuseum.jpg/150px-Sextant_Takiy%C3%BCddinRasid_TopkapiPalaceMuseum.jpg,
Otto Wilhelm von Struve,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Struve_O.jpg/220px-Struve_O.jpg,
Poles of astronomical bodies,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/He1523a.jpg/16px-He1523a.jpg,images\Poles_of_astronomical_bodies.jpg
Apollo program,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/NASA_logo.svg/90px-NASA_logo.svg.png,images\Apollo_program.jpg
3rd Rock from the Sun,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/John_Lithgow_8_by_David_Shankbone.jpg/220px-John_Lithgow_8_by_David_Shankbone.jpg,
Human presence in space,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/United_Nations_Office_for_Outer_Space_Affairs_Logo.svg/250px-United_Nations_Office_for_Outer_Space_Affairs_Logo.svg.png,
Pytheas,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ptolemy-british-isles.jpg/350px-Ptolemy-british-isles.jpg,
Killer Is Dead,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Star_full.svg/11px-Star_full.svg.png,images\Killer_Is_Dead.jpg
Lissajous orbit,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Symbol_list_class.svg/16px-Symbol_list_class.svg.png,images\Lissajous_orbit.jpg
Planetary cartography,,
List of orbits,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Orbits_around_earth_scale_diagram.svg/260px-Orbits_around_earth_scale_diagram.svg.png,
Moon landing,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Apollo_11_first_step.jpg/220px-Apollo_11_first_step.jpg,images\Moon_landing.jpg
Coniology,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/12px-Commons-logo.svg.png,images\Coniology.jpg
Earth-centered inertial,,
